KVALUES
Results of phase equilibrium constant Ki at temperature = 620

P(psia)  K[1]	K[2]	K[3]	K[4]	K[5]	K[6]	
     190    16.94977    1.707148   0.1063561  0.003493921  7.738162e-005  1.623323e-006  
     191    16.86394    1.699328   0.1059387  0.003483273  7.722831e-005  1.621801e-006  
     192    16.77901     1.69159   0.1055257  0.003472751  7.707736e-005  1.620323e-006  
     193    16.69496    1.683933   0.1051172  0.003462354  7.692873e-005  1.618888e-006  
     194    16.61179    1.676356   0.1047131  0.003452081  7.678246e-005  1.617499e-006  
     195    16.52947    1.668857   0.1043133  0.003441926  7.663838e-005  1.61615e-006  
     196    16.44798    1.661435   0.1039177  0.003431891  7.649653e-005  1.614843e-006  
     197    16.36732    1.654089   0.1035263  0.003421973  7.635688e-005  1.613578e-006  
     198    16.28747    1.646817    0.103139  0.00341217  7.621939e-005  1.612354e-006  
     199    16.20843    1.639619   0.1027557  0.00340248  7.608404e-005  1.61117e-006  
     200    16.13018    1.632494   0.1023765  0.003392903  7.595079e-005  1.610026e-006  
     201    16.05271     1.62544   0.1020011  0.003383436  7.581961e-005  1.608922e-006  
     202    15.97601    1.618457   0.1016297  0.003374077  7.569049e-005  1.607857e-006  
     203    15.90006    1.611543    0.101262  0.003364826  7.556338e-005  1.60683e-006  
     204    15.82486    1.604698   0.1008981  0.00335568  7.543826e-005  1.605841e-006  
     205     15.7504     1.59792    0.100538  0.003346638  7.53151e-005  1.60489e-006  
     206    15.67665    1.591208   0.1001814  0.003337699  7.519389e-005  1.603976e-006  
     207    15.60362    1.584561  0.09982849  0.003328861  7.507458e-005  1.603099e-006  
     208     15.5313     1.57798   0.0994791  0.003320122  7.495716e-005  1.602258e-006  
     209    15.45966    1.571461  0.09913321  0.003311482  7.484161e-005  1.601454e-006  
     210    15.38871    1.565006  0.09879077  0.003302939  7.472789e-005  1.600684e-006  
     211    15.31843    1.558612  0.09845172  0.003294491  7.461599e-005  1.59995e-006  
     212    15.24882    1.552279  0.09811602  0.003286137  7.450587e-005  1.599251e-006  
     213    15.17985    1.546006  0.09778362  0.003277877  7.439753e-005  1.598586e-006  
     214    15.11154    1.539792  0.09745449  0.003269708  7.429093e-005  1.597955e-006  
     215    15.04386    1.533636  0.09712856  0.00326163  7.418605e-005  1.597358e-006  
     216    14.97681    1.527538  0.09680579  0.00325364  7.408287e-005  1.596794e-006  
     217    14.91037    1.521497  0.09648616  0.003245739  7.398138e-005  1.596263e-006  
     218    14.84455    1.515512   0.0961696  0.003237925  7.388154e-005  1.595765e-006  
     219    14.77933    1.509582  0.09585608  0.003230196  7.378334e-005  1.595299e-006  
     220     14.7147    1.503707  0.09554555  0.003222552  7.368676e-005  1.594865e-006  
     221    14.65066    1.497885  0.09523799  0.003214991  7.359178e-005  1.594462e-006  
     222    14.58719    1.492116  0.09493334  0.003207512  7.349837e-005  1.594091e-006  
     223     14.5243    1.486399  0.09463157  0.003200115  7.340653e-005  1.593751e-006  
     224    14.46196    1.480734  0.09433264  0.003192798  7.331623e-005  1.593441e-006  
     225    14.40018     1.47512  0.09403651  0.00318556  7.322745e-005  1.593162e-006  
