Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)
days	psi	Mscf/d	stb/d
0         	0         	-         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 29	5269.91	40.33	1.20813	0	1.20813	0	0	1	0
Seg 30	5295.08	40.33	1.20759	0	1.20759	0	0	1	0
Seg 31	5320.23	40.33	1.20705	0	1.20705	0	0	1	0
Seg 32	5345.38	40.33	1.20651	0	1.20651	0	0	1	0
Seg 33	5370.51	40.33	1.20597	0	1.20597	0	0	1	0
Seg 34	5395.88	40.33	1.20543	0	1.20543	0	0	1	0


10.5983   	4700      	-         	3532.12   	3071.41   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	4700	40.33	2.21854	0.113249	2.10529	0	0.0510468	0.948953	0
Seg 1	4700	40.33	2.22517	0.113586	2.11159	0	0.0510397	0.94896	0
Seg 2	4743.28	40.33	2.21268	0.100803	2.11188	0	0.0455512	0.954449	0
Seg 3	4786.32	40.33	2.20049	0.0883197	2.11217	0	0.0401314	0.959869	0
Seg 4	4829.12	40.33	2.18859	0.0761251	2.11246	0	0.0347784	0.965222	0
Seg 5	4871.7	40.33	2.17696	0.0642083	2.11275	0	0.0294908	0.970509	0
Seg 6	4914.05	40.33	2.1656	0.0525588	2.11304	0	0.0242668	0.975733	0
Seg 7	4956.19	40.33	2.15449	0.0411669	2.11333	0	0.019105	0.980895	0
Seg 8	4998.12	40.33	2.14363	0.0300234	2.11361	0	0.014004	0.985996	0
Seg 9	5039.84	40.33	2.13303	0.0191333	2.11389	0	0.00896888	0.991031	0
Seg 10	5081.36	40.33	2.12264	0.00846262	2.11418	0	0.00398632	0.996014	0
Seg 11	5122.71	40.33	2.1141	0	2.1141	0	0	1	0
Seg 12	5164.03	40.33	2.11255	0	2.11255	0	0	1	0
Seg 13	5205.32	40.33	2.111	0	2.111	0	0	1	0
Seg 14	5246.58	40.33	2.10945	0	2.10945	0	0	1	0
Seg 15	5288.56	40.33	2.10788	0	2.10788	0	0	1	0
Seg 16	4868.67	40.33	8.67055	0.258986	8.41156	0	0.0286801	0.97132	0
Seg 17	5034.4	40.33	8.49783	0.0817865	8.41605	0	0.00923125	0.990769	0
Seg 18	5158.57	40.33	7.21426	0	7.21426	0	0	1	0
Seg 19	5291.24	40.33	7.19726	0	7.19726	0	0	1	0
Seg 20	5034.41	40.33	1.20967	0.0116409	1.19802	0	0.00962104	0.990379	0
Seg 21	5059.27	40.33	1.20612	0.00800239	1.19812	0	0.00663329	0.993367	0
Seg 22	5084.06	40.33	1.20262	0.00440498	1.19822	0	0.00366198	0.996338	0
Seg 23	5108.78	40.33	1.19916	0.000847692	1.19831	0	0.000706744	0.999293	0
