Results for well: PROD1 in the reservoir: RES1

  t       BHP	     q(Gas)       q(Oil)
(days)   (psia)    (MSCF/day)   (STB/day)
152060    1000        15095.281   5596.8    
152420    1000        15143.131   5594.53   
152780    1000        15190.396   5592.23   
153140    1000        15237.548   5589.91   
153500    1000        15284.743   5587.58   
153860    1000        15332.083   5585.23   
154220    1000        15379.29    5582.86   
154580    1000        15426.725   5580.49   
154940    1000        15473.762   5578.17   
155300    1000        15520.745   5575.92   
155660    1000        15567.501   5573.72   
156020    1000        15613.949   5571.55   
156380    1000        15660.425   5569.43   
156740    1000        15707.1     5567.24   
157100    1000        15754.048   5565      
157460    1000        15801.51    5562.68   
157820    1000        15848.676   5560.34   
158180    1000        15895.325   5558.02   
158540    1000        15941.81    5555.72   
158900    1000        15988.198   5553.45   
159260    1000        16035.119   5551.18   
159620    1000        16081.68    5548.98   
159980    1000        16127.332   5546.89   
160340    1000        16172.256   5544.85   
160700    1000        16216.864   5542.85   
161060    1000        16261.523   5540.87   
161420    1000        16306.321   5538.86   
161780    1000        16351.237   5536.81   
162140    1000        16396.197   5534.75   
162500    1000        16441.021   5532.67   
162860    1000        16486.214   5530.54   
163220    1000        16530.794   5528.43   
163580    1000        16574.573   5526.36   
163940    1000        16617.904   5524.34   
164300    1000        16662.375   5522.32   
164660    1000        16707.228   5520.26   
165020    1000        16751.641   5518.27   
165380    1000        16795.588   5516.3    
165740    1000        16839.062   5514.39   
166100    1000        16882.253   5512.52   
166460    1000        16925.171   5510.62   
166820    1000        16967.762   5508.74   
167180    1000        17010.006   5506.86   
167540    1000        17051.962   5504.99   
167900    1000        17093.742   5503.12   
168260    1000        17135.6     5501.26   
168620    1000        17177.808   5499.4    
168980    1000        17219.968   5497.54   
169340    1000        17261.49    5495.76   
169700    1000        17302.672   5493.99   
170060    1000        17343.508   5492.26   
170420    1000        17385.177   5490.54   
170780    1000        17427.413   5488.79   
171140    1000        17469.416   5487.08   
171500    1000        17510.875   5485.41   
171860    1000        17551.587   5483.74   
172220    1000        17591.867   5482.09   
172580    1000        17631.764   5480.46   
172940    1000        17671.282   5478.88   
173300    1000        17710.301   5477.32   
173660    1000        17749.211   5475.78   
174020    1000        17788.524   5474.16   
174380    1000        17827.893   5472.54   
174740    1000        17867.149   5470.92   
175100    1000        17906.818   5469.3    
175460    1000        17946.351   5467.69   
175820    1000        17985.532   5466.12   
176180    1000        18024.335   5464.62   
176540    1000        18062.799   5463.15   
176900    1000        18100.987   5461.7    
177260    1000        18138.928   5460.29   
177620    1000        18176.643   5458.95   
177980    1000        18214.121   5457.62   
178340    1000        18251.394   5456.27   
178700    1000        18288.437   5454.93   
179060    1000        18324.895   5453.55   
179420    1000        18361.401   5452.19   
179780    1000        18398.452   5450.8    
180140    1000        18435.568   5449.44   
180500    1000        18472.661   5448.11   
180860    1000        18509.559   5446.77   
181220    1000        18546.107   5445.47   
181580    1000        18582.128   5444.16   
181940    1000        18617.551   5442.9    
182300    1000        18653.1     5441.59   
182660    1000        18688.098   5440.35   
183020    1000        18722.726   5439.16   
183380    1000        18757.482   5437.96   
183740    1000        18792.323   5436.81   
184100    1000        18827.539   5435.64   
184460    1000        18862.582   5434.5    
184820    1000        18897.248   5433.38   
185180    1000        18931.639   5432.33   
185540    1000        18965.516   5431.27   
185900    1000        18998.911   5430.23   
186260    1000        19032.163   5429.2    
186620    1000        19065.516   5428.12   
186980    1000        19098.831   5427.07   
187340    1000        19132.023   5426.02   
187700    1000        19165.147   5424.96   
188060    1000        19198.394   5423.91   
188420    1000        19231.356   5422.87   
188780    1000        19263.885   5421.84   
189140    1000        19296.438   5420.84   
189500    1000        19328.897   5419.84   
189860    1000        19360.775   5418.87   
190220    1000        19392.124   5417.93   
190580    1000        19423.164   5417.04   
