Results for well: MSWell_2_Seg.out in the reservoir: MSWell_2_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d

0         	0         	-         	0         	0         	0         	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 13	5380.49	40.33	1.15111	0	6.13435e-015	1.15111	0	5.32907e-015	1
Seg 14	5405.07	40.33	1.15111	6.0293e-016	4.21736e-015	1.15111	5.23782e-016	3.66374e-015	1
Seg 15	5430.04	40.33	1.15111	1.31948e-014	-1.26521e-014	1.15111	1.14627e-014	-1.09912e-014	1



9.22456   	5083.4    	-         	8.55193e-010	-5.74514e-011	1000      	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5083.4	40.33	1.15111	1.35447e-013	-1.13869e-013	1.15111	1.17666e-013	-9.89209e-014	1
Seg 1	5083.41	40.33	1.15111	1.19932e-013	-8.43473e-014	1.15111	1.04188e-013	-7.32747e-014	1
Seg 2	5107.99	40.33	1.15111	1.13773e-013	-7.41233e-014	1.15111	9.88376e-014	-6.43929e-014	1
Seg 3	5132.57	40.33	1.15111	1.1996e-013	-6.42828e-014	1.15111	1.04212e-013	-5.58442e-014	1
Seg 4	5157.15	40.33	1.15111	8.20499e-014	-1.06073e-014	1.15111	7.12789e-014	-9.21485e-015	1
Seg 5	5181.73	40.33	1.15111	7.07716e-014	-1.62305e-014	1.15111	6.14811e-014	-1.40998e-014	1
Seg 6	5206.32	40.33	1.15111	6.98172e-014	-4.1279e-014	1.15111	6.06521e-014	-3.58602e-014	1
Seg 7	5230.9	40.33	1.15111	4.0889e-014	1.12463e-014	1.15111	3.55214e-014	9.76996e-015	1
Seg 8	5255.48	40.33	1.15111	5.53218e-014	-7.15674e-015	1.15111	4.80595e-014	-6.21725e-015	1
Seg 9	5280.06	40.33	1.15111	0	1.04795e-014	1.15111	0	9.10383e-015	1
Seg 10	5304.64	40.33	1.15111	0	3.07995e-014	1.15111	0	2.67564e-014	1
Seg 11	5329.22	40.33	1.15111	1.8543e-014	2.42818e-015	1.15111	1.61088e-014	2.10942e-015	1
Seg 12	5353.8	40.33	1.15111	1.90477e-014	-1.9042e-014	1.15111	1.65473e-014	-1.65423e-014	1
Seg 13	5378.39	40.33	1.15111	0	0	1.15111	0	0	1
Seg 14	5402.97	40.33	1.15111	2.19968e-015	-2.17258e-015	1.15111	1.91092e-015	-1.88738e-015	1
Seg 15	5427.94	40.33	1.15111	0	0	1.15111	0	0	1



10.2246   	5081.25   	-         	0         	0         	1000      	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5081.25	40.33	1.15111	0	0	1.15111	0	0	1
Seg 1	5081.26	40.33	1.15111	0	0	1.15111	0	0	1
Seg 2	5105.84	40.33	1.15111	0	5.87875e-015	1.15111	0	5.10703e-015	1
Seg 3	5130.42	40.33	1.15111	0	0	1.15111	0	0	1
Seg 4	5155	40.33	1.15111	0	0	1.15111	0	0	1
Seg 5	5179.59	40.33	1.15111	0	0	1.15111	0	0	1
Seg 6	5204.17	40.33	1.15111	0	0	1.15111	0	0	1
Seg 7	5228.75	40.33	1.15111	0	0	1.15111	0	0	1
Seg 8	5253.33	40.33	1.15111	0	0	1.15111	0	0	1
Seg 9	5277.91	40.33	1.15111	0	0	1.15111	0	0	1
Seg 10	5302.49	40.33	1.15111	0	0	1.15111	0	0	1
Seg 11	5327.07	40.33	1.15111	0	0	1.15111	0	0	1
Seg 12	5351.66	40.33	1.15111	0	0	1.15111	0	0	1
Seg 13	5376.24	40.33	1.15111	0	0	1.15111	0	0	1
Seg 14	5400.82	40.33	1.15111	0	0	1.15111	0	0	1
Seg 15	5425.79	40.33	1.15111	0	0	1.15111	0	0	1



11.2246   	5079.08   	-         	0         	0         	1000      	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5079.08	40.33	1.15111	0	0	1.15111	0	0	1
Seg 1	5079.08	40.33	1.15111	0	0	1.15111	0	0	1
Seg 2	5103.67	40.33	1.15111	0	3.96177e-015	1.15111	0	3.44169e-015	1
Seg 3	5128.25	40.33	1.15111	0	0	1.15111	0	0	1
Seg 4	5152.83	40.33	1.15111	0	0	1.15111	0	0	1
Seg 5	5177.41	40.33	1.15111	0	0	1.15111	0	0	1
Seg 6	5201.99	40.33	1.15111	0	0	1.15111	0	0	1
Seg 7	5226.57	40.33	1.15111	0	0	1.15111	0	0	1
Seg 8	5251.15	40.33	1.15111	0	0	1.15111	0	0	1
Seg 9	5275.74	40.33	1.15111	0	0	1.15111	0	0	1
Seg 10	5300.32	40.33	1.15111	0	0	1.15111	0	0	1
Seg 11	5324.9	40.33	1.15111	0	0	1.15111	0	0	1
Seg 12	5349.48	40.33	1.15111	0	0	1.15111	0	0	1
Seg 13	5374.06	40.33	1.15111	0	0	1.15111	0	0	1
Seg 14	5398.64	40.33	1.15111	0	0	1.15111	0	0	1
Seg 15	5423.61	40.33	1.15111	0	0	1.15111	0	0	1



12.2246   	5076.89   	-         	1.3175e-010	-8.72851e-011	1000      	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5076.89	40.33	1.15111	0	2.84991e-014	1.15111	0	2.4758e-014	1
Seg 1	5076.89	40.33	1.15111	0	2.33872e-014	1.15111	0	2.03171e-014	1
Seg 2	5101.47	40.33	1.15111	0	3.01605e-014	1.15111	0	2.62013e-014	1
Seg 3	5126.05	40.33	1.15111	0	1.7764e-014	1.15111	0	1.54321e-014	1
Seg 4	5150.64	40.33	1.15111	0	0	1.15111	0	0	1
Seg 5	5175.22	40.33	1.15111	0	2.51764e-014	1.15111	0	2.18714e-014	1
Seg 6	5199.8	40.33	1.15111	0	0	1.15111	0	0	1
Seg 7	5224.38	40.33	1.15111	0	1.61027e-014	1.15111	0	1.39888e-014	1
Seg 8	5248.96	40.33	1.15111	0	3.27165e-014	1.15111	0	2.84217e-014	1
Seg 9	5273.54	40.33	1.15111	7.01333e-015	1.61027e-014	1.15111	6.09266e-015	1.39888e-014	1
Seg 10	5298.13	40.33	1.15111	0	0	1.15111	0	0	1
Seg 11	5322.71	40.33	1.15111	2.82473e-014	-2.82436e-014	1.15111	2.45392e-014	-2.45359e-014	1
Seg 12	5347.29	40.33	1.15111	0	0	1.15111	0	0	1
Seg 13	5371.87	40.33	1.15111	1.79398e-014	-1.78918e-014	1.15111	1.55848e-014	-1.55431e-014	1
Seg 14	5396.45	40.33	1.15111	1.922e-014	-1.91698e-014	1.15111	1.66969e-014	-1.66533e-014	1
Seg 15	5421.42	40.33	1.15111	0	0	1.15111	0	0	1



