 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	comp2	min0	min1	min2	
day	psi	F	**	**	**	
       127	   387.588	       573	52.1557	8.10364e-021	4.17733e-013	0.0799514	1.38832e-024	1.48473e-013	
       128	   387.588	       573	52.1557	6.4733e-021	3.34781e-013	0.0799514	1.33231e-024	1.19023e-013	
       129	   387.588	       573	52.1557	4.98813e-021	2.68302e-013	0.0799514	1.24968e-024	9.54146e-014	
       130	   387.588	       573	52.1557	3.70847e-021	2.15023e-013	0.0799514	1.14636e-024	7.6489e-014	
       131	   387.588	       573	52.1557	2.66151e-021	1.72325e-013	0.0799514	1.02962e-024	6.13174e-014	
       132	   387.588	       573	52.1557	1.84533e-021	1.38105e-013	0.0799514	9.069e-025	4.9155e-014	
       133	   387.588	       573	52.1557	1.2372e-021	1.10681e-013	0.0799514	7.84858e-025	3.9405e-014	
       134	   387.588	       573	52.1557	8.0294e-022	8.87025e-014	0.0799514	6.68775e-025	3.1589e-014	
       135	   387.588	       573	52.1557	5.04994e-022	7.10883e-014	0.0799514	5.62293e-025	2.53233e-014	
       136	   387.588	       573	52.1557	3.08144e-022	5.69719e-014	0.0799514	4.67481e-025	2.03004e-014	
       137	   387.588	       573	52.1557	1.82644e-022	4.56586e-014	0.0799514	3.8509e-025	1.62737e-014	
       138	   387.588	       573	52.1557	1.05291e-022	3.65919e-014	0.0799514	3.14892e-025	1.30458e-014	
       139	   387.588	       573	52.1557	5.91138e-023	2.93257e-014	0.0799514	2.56017e-025	1.04582e-014	
       140	   387.588	       573	52.1557	3.23714e-023	2.35023e-014	0.0799514	2.07246e-025	8.38376e-015	
       141	   387.588	       573	52.1557	1.73219e-023	1.88353e-014	0.0799514	1.67229e-025	6.72082e-015	
       142	   387.588	       573	52.1557	9.07865e-024	1.50951e-014	0.0799514	1.34628e-025	5.38773e-015	
       143	   387.588	       573	52.1557	4.67599e-024	1.20976e-014	0.0799514	1.08209e-025	4.31906e-015	
       144	   387.588	       573	52.1557	2.37847e-024	9.69527e-015	0.0799514	8.68785e-026	3.46237e-015	
       145	   387.588	       573	52.1557	1.20388e-024	7.77003e-015	0.0799514	6.97024e-026	2.7756e-015	
       146	   387.588	       573	52.1557	6.13392e-025	6.22709e-015	0.0799514	5.58959e-026	2.22505e-015	
       147	   387.588	       573	52.1557	3.19854e-025	4.99054e-015	0.0799514	4.48109e-026	1.78371e-015	
       148	   387.588	       573	52.1557	1.74297e-025	3.99954e-015	0.0799514	3.59177e-026	1.4299e-015	
       149	   387.588	       573	52.1557	1.01331e-025	3.20533e-015	0.0799514	2.87863e-026	1.14628e-015	
       150	   387.588	       573	52.1557	6.36585e-026	2.56883e-015	0.0799514	2.30694e-026	9.1891e-016	
