 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	comp2	comp3	comp4	comp5	comp6	comp7	comp8	comp9	comp10	comp11	comp12	min0	min1	min2	min3	min4	min5	min6	min7	
day	psi	F	**	**	**	**	**	**	**	**	**	**	**	**	**	
   5.67426	   503.964	       582	38.8767	32541.4	0.00215281	4.71069e-005	0.191034	0.277598	5.79874	14.8981	1.57086	1.64563	0.000131865	1.34247e-005	5.11953e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   5.85353	   503.796	       582	40.1182	32529.1	0.00218227	5.10647e-005	0.192204	0.277507	5.79656	14.8983	1.57203	1.66277	0.000132004	1.34152e-005	5.13017e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   6.06621	   505.133	       582	41.0948	32514.3	0.00217258	4.77681e-005	0.193587	0.277389	5.79394	14.8985	1.57342	1.68316	0.000131877	1.33865e-005	5.22025e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   6.19043	   505.118	       582	41.6988	32505.7	0.00217337	4.53542e-005	0.194387	0.27732	5.79241	14.8986	1.57424	1.69507	0.000131875	1.33751e-005	5.24057e-006	41248.8	63219.6	172563	281030	99113.4	45818.4	64025.4	222156	
   6.31342	   504.907	       582	42.3637	32497.1	0.00218109	4.3672e-005	0.19517	0.277252	5.79089	14.8988	1.57504	1.70685	0.000131879	1.33644e-005	5.25234e-006	41248.8	63219.6	172563	281030	99113.4	45818.4	64025.4	222156	
   6.45218	   504.669	       582	43.1911	32487.5	0.00219552	4.32791e-005	0.196111	0.277178	5.78919	14.8993	1.57606	1.72113	0.000132049	1.33603e-005	5.26411e-006	41248.8	63219.6	172563	281030	99113.4	45818.4	64025.4	222156	
   6.61551	   504.449	       582	44.2541	32476.2	0.00221843	4.51147e-005	0.197192	0.277094	5.78719	14.8998	1.57726	1.73787	0.000132213	1.3353e-005	5.27844e-006	41248.8	63219.6	172563	281030	99113.4	45818.4	64025.4	222156	
   6.81077	   504.804	       582	45.4507	32462.6	0.00223604	4.72357e-005	0.198463	0.276992	5.78479	14.9005	1.57869	1.75787	0.000132254	1.33352e-005	5.31568e-006	41248.8	63219.6	172563	281030	99113.4	45818.4	64025.4	222156	
   7.06347	   505.663	       582	46.6985	32444.9	0.00223871	4.32842e-005	0.200081	0.276853	5.78165	14.9014	1.58055	1.78378	0.000132129	1.33008e-005	5.40202e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
    7.2065	   505.512	       582	47.4648	32434.9	0.00224623	4.17291e-005	0.201049	0.276775	5.77988	14.9022	1.58171	1.7994	0.000132324	1.32971e-005	5.41791e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   7.35148	   505.256	       582	48.3218	32424.8	0.00226048	4.16465e-005	0.202005	0.276698	5.77809	14.903	1.58288	1.81515	0.000132495	1.32915e-005	5.43028e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   7.51758	   505.002	       582	49.3946	32413.2	0.0022827	4.37704e-005	0.203071	0.276612	5.77604	14.9039	1.58422	1.83313	0.000132655	1.32831e-005	5.44451e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   7.71557	    505.51	       582	50.5642	32399.4	0.00229644	4.53362e-005	0.204317	0.276509	5.77359	14.9051	1.58582	1.85455	0.000132673	1.32631e-005	5.48698e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   7.93868	   506.301	       582	51.6637	32383.6	0.00229789	4.20641e-005	0.205692	0.276386	5.77081	14.9063	1.58762	1.87868	0.000132591	1.32347e-005	5.55681e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   8.07831	    506.14	       582	52.4032	32373.8	0.0023047	4.05537e-005	0.2066	0.27631	5.76906	14.9074	1.58886	1.89468	0.000132779	1.32305e-005	5.57308e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   8.22217	   505.855	       582	53.2423	32363.7	0.00231821	4.03899e-005	0.207509	0.276234	5.76727	14.9084	1.59012	1.91109	0.000132947	1.32243e-005	5.58582e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   8.38825	   505.566	       582	54.3017	32352	0.00233968	4.2337e-005	0.208527	0.276148	5.76522	14.9097	1.59159	1.92996	0.000133108	1.32152e-005	5.60103e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   8.58752	   505.932	       582	55.5146	32338	0.00235654	4.44987e-005	0.209718	0.276045	5.76274	14.9112	1.59334	1.95257	0.000133146	1.31956e-005	5.63869e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   8.84322	   506.872	       582	56.8012	32319.9	0.00236023	4.09564e-005	0.211206	0.275905	5.75953	14.9132	1.59559	1.98156	0.000133021	1.31597e-005	5.72084e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   8.98932	   506.694	       582	57.586	32309.5	0.00236786	3.96357e-005	0.212102	0.275826	5.75769	14.9146	1.59699	1.99906	0.000133223	1.31549e-005	5.73617e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   9.13853	   506.381	       582	58.4658	32299	0.00238207	3.97797e-005	0.212988	0.275747	5.75583	14.916	1.59841	2.01684	0.000133404	1.31481e-005	5.749e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
    9.3111	   506.063	       582	59.5767	32286.8	0.00240431	4.21705e-005	0.213974	0.275659	5.75368	14.9177	1.60005	2.0373	0.000133578	1.31385e-005	5.76447e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   9.51926	   506.831	       582	60.766	32272	0.00241434	4.29246e-005	0.215132	0.27555	5.75107	14.9197	1.60203	2.06195	0.000133572	1.31145e-005	5.81439e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
    9.7145	   507.518	       582	61.7447	32258.1	0.00241587	4.02944e-005	0.216188	0.275443	5.7486	14.9215	1.60388	2.085	0.000133542	1.30911e-005	5.86865e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
    9.8519	   507.334	       582	62.4737	32248.2	0.00242246	3.89319e-005	0.216973	0.275368	5.74686	14.9231	1.60528	2.10209	0.000133734	1.30861e-005	5.8833e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   9.99681	   506.995	       582	63.3153	32237.9	0.00243564	3.88236e-005	0.217772	0.275292	5.74504	14.9247	1.60676	2.12001	0.000133911	1.3079e-005	5.89668e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
        10	   506.988	       582	63.3339	32237.7	0.00243588	3.88246e-005	0.217789	0.27529	5.745	14.9248	1.60679	2.12041	0.000133916	1.30789e-005	5.89597e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
