Results of block pressure and saturations for reservoir: RES1

BlockNo        P 	     Sg           So
t=0       (days)
70          4040.42     0.344024        0.655976        
71          4244.9      0.393124        0.606876        
72          4497.01     0.422228        0.577772        
73          4742.4      0.456778        0.543222        
74          4968.93     0.497831        0.502169        
75          5170.11     0.548879        0.451121        
76          5343.64     0.611272        0.388728        
77          5487.19     0.685214        0.314786        
78          5596.55     0.799474        0.200526        
79          5674.63     1               0               
80          4067.71     0.35228         0.64772         
81          4260.44     0.411847        0.588153        
82          4507.59     0.448758        0.551242        
83          4751.81     0.487588        0.512412        
84          4978.32     0.533995        0.466005        
85          5180.06     0.592528        0.407472        
86          5353.32     0.658541        0.341459        
87          5497.59     0.74564         0.25436         
88          5606.45     0.903508        0.0964923       
89          5692.57     1               0               
90          4085.58     0.35729         0.64271         
91          4272.61     0.425763        0.574237        
92          4517.3      0.471232        0.528768        
93          4760.96     0.517204        0.482796        
94          4987.67     0.571809        0.428191        
95          5189.42     0.633586        0.366414        
96          5362.57     0.703217        0.296783        
97          5507.4      0.794196        0.205804        
98          5615.81     0.993196        0.00680351      
99          5713.95     1               0               
t=150     (days)
0           3040.37     0.31534         0.68466         
1           3686.31     0               1               
2           4052.63     0               1               
3           4355.83     0               1               
4           4626.71     0               1               
5           4862.63     0               1               
6           5066.41     0               1               
7           5236.43     0               1               
8           5362.14     0.00720693      0.992793        
9           5438.23     0.106277        0.893723        
10          3173.46     0.340598        0.659402        
11          3706.21     0.111653        0.888347        
12          4063.87     0               1               
13          4365.84     0               1               
14          4636.83     0               1               
15          4872.65     0.00313113      0.996869        
16          5076.48     0.0693708       0.930629        
17          5246.85     0.215306        0.784694        
18          5372.33     0.332936        0.667064        
19          5448.67     0.415329        0.584671        
20          3284.42     0.369876        0.630124        
21          3728.88     0.261506        0.738494        
22          4077.33     0.0558726       0.944127        
23          4377.07     0.0574259       0.942574        
24          4648.26     0.163802        0.836198        
25          4883.38     0.29214         0.70786         
26          5086.48     0.36775         0.63225         
27          5256.23     0.421684        0.578316        
28          5382.81     0.477412        0.522588        
29          5460.85     0.546427        0.453573        
30          3376.93     0.395988        0.604012        
31          3753.4      0.337945        0.662055        
32          4090.35     0.298074        0.701926        
33          4387.81     0.328172        0.671828        
34          4657.12     0.373427        0.626573        
35          4892.75     0.417693        0.582307        
36          5096.35     0.462075        0.537925        
37          5266.22     0.508102        0.491898        
38          5394.12     0.566154        0.433846        
39          5474.63     0.643209        0.356791        
40          3453.18     0.415081        0.584919        
41          3778.03     0.396686        0.603314        
42          4102.24     0.388483        0.611517        
43          4397.64     0.410414        0.589586        
44          4666.03     0.443189        0.556811        
45          4902.22     0.48054         0.51946         
46          5106.55     0.524035        0.475965        
47          5276.89     0.57683         0.42317         
48          5405.83     0.640193        0.359807        
49          5489.82     0.729295        0.270705        
50          3515.54     0.427162        0.572838        
51          3801.53     0.428987        0.571013        
52          4114.09     0.434065        0.565935        
53          4407.39     0.457535        0.542465        
54          4675.27     0.490202        0.509798        
55          4912.01     0.529939        0.470061        
56          5117.1      0.579686        0.420314        
57          5287.75     0.637003        0.362997        
58          5417.67     0.70791         0.29209         
59          5506.25     0.832113        0.167887        
60          3565.55     0.436139        0.563861        
61          3823.06     0.452369        0.547631        
62          4125.76     0.467039        0.532961        
63          4417.23     0.494177        0.505823        
64          4684.83     0.53083         0.46917         
65          4922.08     0.576665        0.423335        
66          5127.52     0.630079        0.369921        
67          5298.62     0.693565        0.306435        
68          5429.31     0.787006        0.212994        
69          5522.24     1               0               
70          3604.33     0.443252        0.556748        
71          3841.91     0.471697        0.528303        
72          4137.03     0.494775        0.505225        
73          4427.09     0.527593        0.472407        
74          4694.63     0.570317        0.429683        
75          4931.95     0.620192        0.379808        
76          5137.64     0.677227        0.322773        
77          5309.41     0.754569        0.245431        
78          5439.47     0.897257        0.102743        
79          5540.86     1               0               
80          3632.63     0.448606        0.551394        
81          3857.64     0.488252        0.511748        
82          4147.6      0.520658        0.479342        
