Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 14	373.545	117.912	5.29558	3.07956	2.21602	3.35316e-007	0.581535	0.418465	6.33201e-008		0.95005	0.0399932	0.00289843	0.00705854	0	0.0967918	0.164001	0.211197	0.52801	0	
Seg 15	379.434	118.107	5.22158	3.00151	2.22007	3.40681e-007	0.574828	0.425172	6.52449e-008		0.950417	0.0396599	0.00288916	0.00703373	0	0.0982537	0.163845	0.210824	0.527077	0	
Seg 16	385.314	118.275	5.14976	2.92595	2.22381	3.46137e-007	0.568173	0.431827	6.72142e-008		0.950789	0.0393253	0.00287896	0.00700665	0	0.099716	0.163686	0.210452	0.526146	0	
Seg 17	391.184	118.415	5.07999	2.85278	2.22721	3.51681e-007	0.561572	0.438428	6.92287e-008		0.951166	0.0389891	0.0028678	0.00697722	0	0.101179	0.163526	0.21008	0.525215	0	
Seg 18	397.046	118.526	5.01214	2.78187	2.23027	3.57311e-007	0.555026	0.444974	7.1289e-008		0.951548	0.0386508	0.00285563	0.00694536	0	0.102644	0.163364	0.209707	0.524284	0	
Seg 19	402.9	118.608	4.94609	2.7131	2.23299	3.63021e-007	0.548534	0.451466	7.33957e-008		0.951937	0.0383101	0.00284243	0.00691097	0	0.104111	0.163201	0.209335	0.523354	0	
Seg 20	405.219	118.66	4.92135	2.68712	2.23423	3.68815e-007	0.546013	0.453987	7.49417e-008		0.952074	0.0381869	0.00283853	0.00690061	0	0.104686	0.163135	0.209189	0.522989	0	
Seg 21	407.526	118.66	4.89606	2.66098	2.23509	3.72929e-007	0.543493	0.456507	7.61692e-008		0.952243	0.0380421	0.0028317	0.00688307	0	0.105271	0.16307	0.209041	0.522618	0	
Seg 22	409.822	118.66	4.87118	2.63536	2.23581	3.77064e-007	0.541012	0.458988	7.74071e-008		0.952409	0.0378997	0.002825	0.00686588	0	0.105852	0.163005	0.208894	0.522249	0	
Seg 23	412.106	118.66	4.84668	2.61025	2.23643	3.81217e-007	0.538564	0.461436	7.86552e-008		0.952573	0.0377595	0.00281844	0.00684903	0	0.10643	0.16294	0.208747	0.521883	0	


