KVALUES
Results of phase equilibrium constant Ki at temperature = 530

P(psia)  K[1]	K[2]	K[3]	K[4]	K[5]	K[6]	K[7]	K[8]	K[9]	
     134    7.111397    52.08116    23.43707    3.212155   0.9544895   0.1539491  0.06345233  0.0004194329  6.926617e-008  
     135     7.06259    51.69858    23.26296    3.190273   0.9482985   0.1530345  0.06310017  0.0004179252  6.924896e-008  
     136    7.014485    51.32143    23.09141    3.168713   0.9422002   0.1521337  0.06275336  0.000416444  6.923486e-008  
     137    6.967067    50.94961    22.92237     3.14747   0.9361924   0.1512466   0.0624118  0.0004149888  6.922384e-008  
     138    6.920321    50.58299    22.75576    3.126536   0.9302733   0.1503726  0.06207537  0.000413559  6.921584e-008  
     139    6.874233    50.22148    22.59155    3.105905   0.9244408   0.1495117  0.06174396  0.0004121541  6.921082e-008  
     140     6.82879    49.86497    22.42969     3.08557   0.9186932   0.1486635  0.06141746  0.0004107736  6.920875e-008  
     141    6.783976    49.51335    22.27011    3.065525   0.9130285   0.1478276  0.06109576  0.0004094171  6.920959e-008  
     142    6.739781    49.16653    22.11279    3.045763   0.9074451    0.147004  0.06077878  0.0004080841  6.92133e-008  
     143     6.69619     48.8244    21.95766     3.02628   0.9019412   0.1461923  0.06046641  0.0004067741  6.921983e-008  
     144    6.653192    48.48687    21.80468    3.007068   0.8965151   0.1453922  0.06015855  0.0004054866  6.922917e-008  
     145    6.610774    48.15384    21.65381    2.988123   0.8911652   0.1446035  0.05985511  0.0004042212  6.924126e-008  
     146    6.568926    47.82524      21.505    2.969438     0.88589    0.143826    0.059556  0.0004029776  6.925608e-008  
     147    6.527634    47.50097    21.35822    2.951009    0.880688   0.1430595  0.05926114  0.0004017553  6.927359e-008  
     148    6.486889    47.18094    21.21342     2.93283   0.8755575   0.1423037  0.05897044  0.0004005538  6.929377e-008  
     149    6.446679    46.86508    21.07056    2.914897   0.8704973   0.1415584  0.05868381  0.0003993728  6.931658e-008  
     150    6.406994     46.5533    20.92961    2.897204   0.8655058   0.1408234  0.05840117  0.000398212  6.934198e-008  
     151    6.367824    46.24553    20.79052    2.879746   0.8605816   0.1400985  0.05812246  0.0003970709  6.936997e-008  
     152    6.329158    45.94168    20.65326     2.86252   0.8557236   0.1393835  0.05784758  0.0003959492  6.940049e-008  
     153    6.290988    45.64168     20.5178     2.84552   0.8509303   0.1386782  0.05757646  0.0003948466  6.943354e-008  
     154    6.253303    45.34546    20.38409    2.828742   0.8462005   0.1379824  0.05730904  0.0003937626  6.946907e-008  
     155    6.216095    45.05295    20.25211    2.812181   0.8415329   0.1372959  0.05704523  0.000392697  6.950707e-008  
     156    6.179354    44.76409    20.12183    2.795835   0.8369264   0.1366186  0.05678498  0.0003916494  6.954751e-008  
     157    6.143071    44.47879     19.9932    2.779697   0.8323797   0.1359503  0.05652821  0.0003906196  6.959036e-008  
     158    6.107239      44.197     19.8662    2.763765   0.8278918   0.1352908  0.05627487  0.0003896072  6.96356e-008  
     159    6.071848    43.91865     19.7408    2.748035   0.8234615   0.1346399  0.05602487  0.0003886119  6.968321e-008  
     160    6.036891    43.64368    19.61696    2.732503   0.8190877   0.1339975  0.05577817  0.0003876334  6.973317e-008  
     161     6.00236    43.37203    19.49467    2.717164   0.8147694   0.1333634   0.0555347  0.0003866714  6.978546e-008  
     162    5.968246    43.10363    19.37389    2.702016   0.8105056   0.1327374  0.05529441  0.0003857257  6.984004e-008  
     163    5.934543    42.83844    19.25459    2.687055   0.8062951   0.1321195  0.05505723  0.0003847959  6.989691e-008  
     164    5.901243    42.57639    19.13674    2.672278   0.8021371   0.1315095   0.0548231  0.0003838819  6.995605e-008  
     165    5.868339    42.31743    19.02033    2.657681   0.7980306   0.1309071  0.05459198  0.0003829833  7.001742e-008  
     166    5.835824     42.0615    18.90531    2.643261   0.7939747   0.1303124  0.05436381  0.0003820999  7.008102e-008  
     167     5.80369    41.80855    18.79168    2.629015   0.7899684   0.1297251  0.05413854  0.0003812315  7.014683e-008  
     168    5.771932    41.55853     18.6794    2.614939   0.7860109   0.1291451  0.05391611  0.0003803778  7.021483e-008  
     169    5.740543    41.31139    18.56845    2.601031   0.7821012   0.1285723  0.05369648  0.0003795385  7.0285e-008  
     170    5.709516    41.06708    18.45881    2.587288   0.7782386   0.1280065  0.05347959  0.0003787135  7.035733e-008  
     171    5.678845    40.82554    18.35044    2.573706   0.7744219   0.1274476  0.05326539  0.0003779023  7.043172e-008  
     172    5.648524    40.58674    18.24335    2.560284   0.7706509   0.1268956  0.05305386  0.000377105  7.050831e-008  
     173    5.618547    40.35063    18.13749    2.547018   0.7669245   0.1263503  0.05284494  0.0003763214  7.058701e-008  
     174    5.588909    40.11716    18.03285    2.533905   0.7632419   0.1258116  0.05263857  0.0003755511  7.06678e-008  
     175    5.559603    39.88629    17.92941    2.520943   0.7596024   0.1252793  0.05243473  0.000374794  7.075067e-008  
     176    5.530624    39.65798    17.82715     2.50813   0.7560053   0.1247534  0.05223337  0.0003740498  7.08356e-008  
     177    5.501966    39.43218    17.72605    2.495463   0.7524498   0.1242337  0.05203443  0.0003733184  7.092259e-008  
     178    5.473625    39.20885    17.62608    2.482938   0.7489351   0.1237202   0.0518379  0.0003725996  7.101162e-008  
     179    5.445595    38.98795    17.52723    2.470555   0.7454607   0.1232127  0.05164372  0.0003718932  7.110267e-008  
     180    5.417871    38.76945    17.42948    2.458311   0.7420259   0.1227112  0.05145186  0.0003711989  7.119574e-008  
     181    5.390447     38.5533    17.33282    2.446203     0.73863   0.1222155  0.05126227  0.0003705167  7.129081e-008  
     182     5.36332    38.33946    17.23722    2.434228   0.7352723   0.1217255  0.05107493  0.0003698463  7.138787e-008  
     183    5.336484     38.1279    17.14266    2.422386   0.7319523   0.1212412  0.05088979  0.0003691875  7.148691e-008  
     184    5.309935    37.91859    17.04914    2.410674   0.7286692   0.1207625  0.05070682  0.0003685403  7.158792e-008  
     185    5.283668    37.71148    16.95663    2.399089   0.7254226   0.1202892  0.05052599  0.0003679044  7.169089e-008  
     186    5.257678    37.50655    16.86511     2.38763   0.7222117   0.1198213  0.05034726  0.0003672797  7.17958e-008  
     187    5.231962    37.30376    16.77458    2.376294   0.7190362   0.1193587  0.05017059  0.000366666  7.190265e-008  
     188    5.206515    37.10307    16.68501     2.36508   0.7158953   0.1189013  0.04999596  0.0003660632  7.201144e-008  
     189    5.181333    36.90445     16.5964    2.353985   0.7127885    0.118449  0.04982334  0.000365471  7.212214e-008  
     190    5.156411    36.70787    16.50872    2.343008   0.7097153   0.1180018  0.04965268  0.0003648895  7.223475e-008  
     191    5.131746    36.51331    16.42196    2.332147   0.7066751   0.1175596  0.04948397  0.0003643183  7.234927e-008  
     192    5.107333    36.32072     16.3361    2.321401   0.7036675   0.1171222  0.04931717  0.0003637574  7.246568e-008  
     193     5.08317    36.13008    16.25114    2.310766   0.7006919   0.1166897  0.04915225  0.0003632067  7.258397e-008  
     194    5.059251    35.94136    16.16706    2.300242   0.6977479   0.1162619  0.04898919  0.0003626659  7.270414e-008  
     195    5.035574    35.75454    16.08384    2.289827   0.6948349   0.1158387  0.04882795  0.0003621351  7.282619e-008  
     196    5.012135    35.56957    16.00147     2.27952   0.6919525   0.1154202  0.04866851  0.0003616139  7.29501e-008  
     197     4.98893    35.38644    15.91994    2.269318   0.6891001   0.1150062  0.04851084  0.0003611024  7.307586e-008  
     198    4.965956    35.20512    15.83924     2.25922   0.6862775   0.1145966  0.04835492  0.0003606003  7.320348e-008  
     199    4.943209    35.02558    15.75935    2.249224    0.683484   0.1141915  0.04820072  0.0003601076  7.333293e-008  
     200    4.920686     34.8478    15.68026    2.239329   0.6807192   0.1137906  0.04804821  0.0003596241  7.346423e-008  
     201    4.898383    34.67174    15.60197    2.229534   0.6779828   0.1133941  0.04789736  0.0003591498  7.359736e-008  
     202    4.876298    34.49739    15.52445    2.219836   0.6752743   0.1130017  0.04774817  0.0003586844  7.373231e-008  
     203    4.854427    34.32472     15.4477    2.210235   0.6725933   0.1126135  0.04760059  0.0003582279  7.386909e-008  
     204    4.832768    34.15371     15.3717    2.200729   0.6699394   0.1122293  0.04745461  0.0003577802  7.400767e-008  
     205    4.811317    33.98433    15.29645    2.191317   0.6673122   0.1118492   0.0473102  0.0003573412  7.414807e-008  
     206     4.79007    33.81655    15.22192    2.181997   0.6647113    0.111473  0.04716735  0.0003569108  7.429028e-008  
     207    4.769026    33.65037    15.14813    2.172768   0.6621362   0.1111007  0.04702602  0.0003564888  7.443429e-008  
     208    4.748182    33.48574    15.07504    2.163628   0.6595868   0.1107323   0.0468862  0.0003560751  7.458009e-008  
     209    4.727534    33.32266    15.00266    2.154577   0.6570625   0.1103676  0.04674787  0.0003556697  7.472769e-008  
     210     4.70708     33.1611    14.93097    2.145613    0.654563   0.1100067  0.04661101  0.0003552724  7.487707e-008  
     211    4.686817    33.00104    14.85996    2.136735    0.652088   0.1096495  0.04647559  0.0003548832  7.502824e-008  
     212    4.666742    32.84246    14.78962    2.127942   0.6496371   0.1092959  0.04634159  0.000354502  7.518119e-008  
     213    4.646853    32.68534    14.71995    2.119232     0.64721   0.1089459    0.046209  0.0003541286  7.533592e-008  
     214    4.627148    32.52965    14.65093    2.110604   0.6448063   0.1085994   0.0460778  0.000353763  7.549243e-008  
     215    4.607623    32.37539    14.58256    2.102057   0.6424257   0.1082564  0.04594796  0.0003534051  7.56507e-008  
     216    4.588277    32.22252    14.51482    2.093591    0.640068   0.1079169  0.04581948  0.0003530548  7.581075e-008  
     217    4.569106    32.07103    14.44771    2.085203   0.6377327   0.1075807  0.04569232  0.000352712  7.597256e-008  
     218    4.550109    31.92091    14.38122    2.076893   0.6354195   0.1072479  0.04556647  0.0003523766  7.613614e-008  
     219    4.531283    31.77213    14.31534     2.06866   0.6331283   0.1069183  0.04544192  0.0003520485  7.630148e-008  
     220    4.512626    31.62467    14.25005    2.060503   0.6308586    0.106592  0.04531865  0.0003517277  7.646857e-008  
     221    4.494136    31.47852    14.18537     2.05242   0.6286101    0.106269  0.04519664  0.0003514141  7.663743e-008  
     222     4.47581    31.33367    14.12127    2.044411   0.6263827   0.1059491  0.04507587  0.0003511076  7.680805e-008  
     223    4.457646    31.19009    14.05774    2.036475   0.6241759   0.1056323  0.04495633  0.0003508081  7.698041e-008  
     224    4.439642    31.04776    13.99479     2.02861   0.6219896   0.1053186    0.044838  0.0003505156  7.715453e-008  
     225    4.421797    30.90668    13.93239    2.020816   0.6198234   0.1050079  0.04472086  0.0003502299  7.733041e-008  
     226    4.404107    30.76682    13.87056    2.013092   0.6176771   0.1047002  0.04460491  0.000349951  7.750803e-008  
     227    4.386571    30.62817    13.80927    2.005437   0.6155505   0.1043955  0.04449012  0.0003496788  7.768741e-008  
     228    4.369187    30.49071    13.74852     1.99785   0.6134432   0.1040937  0.04437648  0.0003494133  7.786853e-008  
