KVALUES
Results of phase equilibrium constant Ki at temperature = 563.4

P(psia)  K[1]	K[2]	
    6580    32.42579  0.07171928  
    6590    32.41384  0.07177673  
    6600     32.4019  0.07183411  
    6610    32.38999  0.07189142  
    6620    32.37809  0.07194866  
    6630     32.3662  0.07200583  
    6640    32.35434  0.07206293  
    6650     32.3425  0.07211997  
    6660    32.33067  0.07217693  
    6670    32.31886  0.07223383  
    6680    32.30707  0.07229066  
    6690    32.29529  0.07234742  
    6700    32.28354  0.07240411  
    6710     32.2718  0.07246073  
    6720    32.26008  0.07251729  
    6730    32.24837  0.07257378  
    6740    32.23669   0.0726302  
    6750    32.22502  0.07268655  
    6760    32.21337  0.07274284  
    6770    32.20174  0.07279906  
    6780    32.19012  0.07285522  
    6790    32.17852  0.07291131  
    6800    32.16694  0.07296733  
    6810    32.15538  0.07302328  
    6820    32.14383  0.07307917  
    6830     32.1323  0.07313499  
    6840    32.12079  0.07319075  
    6850    32.10929  0.07324644  
    6860    32.09782  0.07330207  
    6870    32.08635  0.07335763  
    6880    32.07491  0.07341313  
    6890    32.06348  0.07346856  
    6900    32.05207  0.07352393  
    6910    32.04068  0.07357923  
    6920     32.0293  0.07363446  
    6930    32.01794  0.07368964  
    6940     32.0066  0.07374475  
    6950    31.99527  0.07379979  
    6960    31.98396  0.07385477  
    6970    31.97267  0.07390969  
    6980    31.96139  0.07396454  
    6990    31.95013  0.07401933  
    7000    31.93888  0.07407406  
    7010    31.92765  0.07412872  
    7020    31.91644  0.07418332  
    7030    31.90525  0.07423786  
    7040    31.89407  0.07429234  
    7050     31.8829  0.07434675  
    7060    31.87176   0.0744011  
    7070    31.86063  0.07445538  
    7080    31.84951  0.07450961  
    7090    31.83841  0.07456377  
    7100    31.82733  0.07461788  
    7110    31.81626  0.07467191  
    7120    31.80521  0.07472589  
    7130    31.79418  0.07477981  
    7140    31.78316  0.07483367  
    7150    31.77215  0.07488746  
    7160    31.76117  0.07494119  
    7170    31.75019  0.07499486  
    7180    31.73924  0.07504848  
    7190     31.7283  0.07510203  
    7200    31.71737  0.07515552  
    7210    31.70646  0.07520895  
    7220    31.69557  0.07526232  
    7230    31.68469  0.07531563  
    7240    31.67383  0.07536888  
    7250    31.66298  0.07542207  
    7260    31.65215   0.0754752  
    7270    31.64133  0.07552827  
    7280    31.63053  0.07558128  
    7290    31.61974  0.07563423  
    7300    31.60897  0.07568712  
    7310    31.59821  0.07573996  
    7320    31.58747  0.07579273  
    7330    31.57674  0.07584545  
    7340    31.56603   0.0758981  
    7350    31.55534   0.0759507  
    7360    31.54466  0.07600324  
    7370    31.53399  0.07605573  
    7380    31.52334  0.07610815  
    7390     31.5127  0.07616052  
    7400    31.50208  0.07621282  
    7410    31.49148  0.07626507  
    7420    31.48088  0.07631727  
    7430    31.47031   0.0763694  
    7440    31.45974  0.07642148  
    7450     31.4492   0.0764735  
    7460    31.43866  0.07652546  
    7470    31.42814  0.07657737  
    7480    31.41764  0.07662922  
    7490    31.40715  0.07668101  
    7500    31.39668  0.07673275  
    7510    31.38622  0.07678443  
    7520    31.37577  0.07683605  
    7530    31.36534  0.07688762  
    7540    31.35492  0.07693913  
    7550    31.34452  0.07699058  
    7560    31.33413  0.07704198  
    7570    31.32375  0.07709332  
    7580    31.31339  0.07714461  
    7590    31.30305  0.07719584  
    7600    31.29271  0.07724702  
    7610     31.2824  0.07729814  
    7620    31.27209   0.0773492  
    7630     31.2618  0.07740021  
    7640    31.25153  0.07745117  
    7650    31.24126  0.07750207  
    7660    31.23102  0.07755291  
    7670    31.22078  0.07760371  
    7680    31.21056  0.07765444  
    7690    31.20035  0.07770512  
    7700    31.19016  0.07775575  
    7710    31.17998  0.07780632  
    7720    31.16982  0.07785684  
    7730    31.15967  0.07790731  
    7740    31.14953  0.07795772  
    7750     31.1394  0.07800808  
    7760    31.12929  0.07805838  
    7770     31.1192  0.07810863  
    7780    31.10911  0.07815883  
    7790    31.09904  0.07820897  
    7800    31.08899  0.07825906  
    7810    31.07894   0.0783091  
    7820    31.06891  0.07835908  
    7830     31.0589  0.07840901  
    7840    31.04889  0.07845889  
    7850     31.0389  0.07850872  
    7860    31.02893  0.07855849  
    7870    31.01897  0.07860821  
    7880    31.00902  0.07865788  
    7890    30.99908   0.0787075  
    7900    30.98916  0.07875706  
    7910    30.97924  0.07880657  
    7920    30.96935  0.07885603  
    7930    30.95946  0.07890544  
    7940    30.94959   0.0789548  
    7950    30.93973   0.0790041  
    7960    30.92989  0.07905335  
    7970    30.92006  0.07910255  
    7980    30.91024  0.07915171  
    7990    30.90043   0.0792008  
