Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
0.966159 0.0280082 0.00199583 0.0038368 0 0.147387 0.175852 0.225585 0.451177 0 0.966188 0.0279824 0.00199496 0.00383481 0 0.14773 0.175866 0.225465 0.450939 0 0.966218 0.0279554 0.00199409 0.0038328 0 0.148083 0.175877 0.225344 0.450697 0 0.966248 0.027928 0.00199323 0.00383082 0 0.148438 0.175885 0.225223 0.450455 0 0.966278 0.0279008 0.0019924 0.00382888 0 0.148789 0.175891 0.225103 0.450217 0 0.966306 0.0278749 0.00199159 0.00382702 0 0.149131 0.1759 0.224986 0.449983 0 0.966331 0.0278525 0.00199084 0.00382527 0 0.149449 0.175917 0.224874 0.449761 0 0.966348 0.0278382 0.00199015 0.0038237 0 0.149715 0.175958 0.224771 0.449556 0 0.96638 0.0278077 0.00198976 0.00382272 0 0.14996 0.175889 0.224712 0.449438 0 0.966411 0.0277782 0.00198942 0.00382186 0 0.150187 0.175817 0.224661 0.449336 0 0.966446 0.0277438 0.00198905 0.0038209 0 0.150446 0.17573 0.224604 0.44922 0 0.966484 0.0277072 0.00198869 0.00381995 0 0.150715 0.175633 0.224546 0.449105 0 0.966524 0.0276688 0.00198835 0.00381904 0 0.150987 0.175526 0.224492 0.448996 0 0.966564 0.0276294 0.00198803 0.00381816 0 0.151261 0.175412 0.224439 0.448889 0 0.966605 0.02759 0.00198771 0.00381728 0 0.151537 0.175299 0.224385 0.44878 0 0.966644 0.0275518 0.00198738 0.00381637 0 0.151816 0.175193 0.224327 0.448664 0 0.966682 0.0275158 0.00198702 0.00381541 0 0.152098 0.175102 0.224264 0.448537 0 0.966717 0.0274822 0.00198661 0.00381435 0 0.152386 0.175028 0.224192 0.448394 0 0.966747 0.0274534 0.00198609 0.00381305 0 0.152696 0.174991 0.224102 0.448211 0 0.966753 0.0274516 0.00198496 0.00381053 0 0.153092 0.175159 0.223913 0.447836 0 0.966737 0.0274687 0.00198468 0.00380998 0 0.153109 0.175273 0.223869 0.44775 0 0.966738 0.0274673 0.00198465 0.00380991 0 0.153125 0.175271 0.223864 0.44774 0 0.96674 0.0274657 0.00198462 0.00380984 0 0.153143 0.175269 0.223859 0.447729 0 0.966742 0.0274639 0.00198459 0.00380975 0 0.153163 0.175267 0.223853 0.447717 0 0.964927 0.0291594 0.00202032 0.00389298 0 0.137875 0.177567 0.228182 0.456376 0 0.964995 0.0290904 0.0020207 0.0038936 0 0.137983 0.177223 0.228261 0.456532 0 0.965002 0.0290853 0.00202026 0.00389267 0 0.138087 0.177254 0.228216 0.456443 0 0.965007 0.029081 0.00201987 0.00389182 0 0.138181 0.177284 0.228175 0.45636 0 0.965012 0.0290773 0.00201951 0.00389105 0 0.138267 0.177313 0.228137 0.456284 0 0.965016 0.0290741 0.00201919 0.00389035 0 0.138344 0.177338 0.228102 0.456216 0 0.96502 0.029071 0.0020189 0.00388974 0 0.138412 0.177361 0.228072 0.456155 0 0.965024 0.029068 0.00201865 0.00388919 0 0.138474 0.177379 0.228045 0.456102 0 0.965028 0.029065 0.00201843 0.00388873 0 0.138528 0.177393 0.228022 0.456057 0 0.965032 0.0290619 0.00201825 0.00388833 0 0.138576 0.177402 0.228003 0.456019 0 0.965035 0.0290586 0.00201809 0.00388799 0 0.138617 0.177407 0.227988 0.455988 0 0.965039 0.0290555 0.00201796 0.00388771 0 0.138653 0.177409 0.227975 0.455963 0 0.965042 0.0290526 0.00201786 0.00388749 0 0.138683 0.177409 0.227965 0.455943 0 0.965045 0.0290501 0.00201778 0.00388731 0 0.138707 0.177408 0.227957 0.455927 0 4.37404e-005	556.572   	99.67     	14.5458   	299.999   	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 0	556.572	99.67	3.24004	2.90379	0.336253	0	0.896219	0.103781	0		0.966364	0.0278204	0.00199064	0.00382469	0	0.149641	0.175813	0.224845	0.449701	0	
Seg 1	557.971	99.67	3.29428	3.00538	0.288899	0	0.856524	0.143476	0		0.966373	0.0278149	0.00198954	0.00382225	0	0.149999	0.175952	0.224679	0.44937	0	
Seg 2	559.421	99.67	3.3412	3.06684	0.274365	0	0.851344	0.148656	0		0.9664	0.0277912	0.00198867	0.00382023	0	0.150368	0.175983	0.224546	0.449104	0	
Seg 3	560.855	99.67	3.38814	3.12396	0.264187	0	0.855043	0.144957	0		0.966426	0.0277678	0.00198782	0.00381826	0	0.150733	0.176013	0.224414	0.448841	0	
Seg 4	562.238	99.67	3.43549	3.19137	0.244125	0	0.86358	0.13642	0		0.966451	0.0277454	0.00198702	0.0038164	0	0.151085	0.176041	0.224287	0.448588	0	
Seg 5	563.523	99.67	3.48347	3.27794	0.205523	0	0.878343	0.121657	0		0.966474	0.0277251	0.00198628	0.00381467	0	0.151411	0.176069	0.224168	0.448351	0	
Seg 6	564.638	99.67	3.53241	3.39261	0.139795	0	0.902152	0.0978479	0		0.966492	0.0277095	0.00198562	0.00381314	0	0.151695	0.176106	0.224061	0.448138	0	
