Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 7	378.594	99.67	20.2434	18.6563	1.5871	8.11724e-006	0.911939	0.0880604	4.50386e-007		0.959427	0.0340002	0.00223337	0.00433925	0	0.103343	0.17694	0.239911	0.479806	0	
Seg 8	382.1	99.67	9.80618	8.9096	0.896582	0	0.888482	0.111518	0		0.959518	0.0339408	0.00222306	0.00431822	0	0.104282	0.177586	0.239382	0.47875	0	
Seg 9	385.681	99.67	9.72187	8.81683	0.905031	3.6912e-006	0.883637	0.116363	4.74589e-007		0.959723	0.033763	0.00221426	0.00430016	0	0.105235	0.177628	0.23905	0.478087	0	
Seg 10	390.822	99.67	9.59948	8.68497	0.914506	1.13495e-007	0.867864	0.132136	1.63988e-008		0.96001	0.0335127	0.00220205	0.00427506	0	0.106602	0.177678	0.238578	0.477142	0	
Seg 11	396.04	99.67	9.48432	8.55572	0.928595	1.19041e-007	0.862357	0.137643	1.76451e-008		0.960295	0.0332643	0.00219014	0.00425054	0	0.107987	0.177718	0.238103	0.476192	0	
Seg 12	401.28	99.67	9.37278	8.43007	0.942711	1.25007e-007	0.858601	0.141399	1.87501e-008		0.960574	0.0330205	0.00217865	0.00422685	0	0.109377	0.177746	0.23763	0.475247	0	
Seg 13	406.532	99.67	9.26484	8.30811	0.956723	1.31346e-007	0.855123	0.144877	1.98899e-008		0.960847	0.0327814	0.00216759	0.00420401	0	0.110767	0.177764	0.23716	0.474309	0	
Seg 14	411.796	99.67	9.16025	8.18971	0.970541	1.38071e-007	0.851697	0.148303	2.10979e-008		0.961114	0.0325472	0.00215695	0.00418199	0	0.112159	0.177772	0.236693	0.473376	0	
Seg 15	417.071	99.67	9.05877	8.07472	0.984048	1.45204e-007	0.848301	0.151699	2.23844e-008		0.961375	0.0323177	0.00214671	0.00416077	0	0.113551	0.177771	0.23623	0.472449	0	
Seg 16	422.355	99.67	8.96014	7.96303	0.99711	1.52772e-007	0.844944	0.155055	2.37569e-008		0.96163	0.0320929	0.00213687	0.00414032	0	0.114944	0.17776	0.235769	0.471528	0	
